Don Bragg	USA 
Giovanna José Blanco	VEN 
Juan Blanco	CUB 
Juan Carlos Blanco	VEN 
Mario Rolando Blanco	GUA 
Suzette Blanco	CUB 
Gabriel Blando	COL 
Norge Blay	CUB 
Keston Bledman	TTO 
Daniel Bluman	COL 
Gayle Bluth	MEX 
Ernesto Boardman	MEX 
César Bocachica	PUR 
Liston Bochette	PUR 
Carlos Bodega	PUR 
Mariangee Bogado	VEN 
Marcelino Bolívar	VEN 
Andrea Boltz	MEX 
Clive Bonas	VEN 
Daisurami Bonne	CUB 
Idalmis Bonne	CUB 
Jorge Bonnet	PUR 
René Bonora	CUB 
Cleopatra Borel-Brown	TTO 
Dagoberto Borges	CUB 
Lázaro Borges	CUB 
Carlos Borja	MEX 
César Borja	MEX 
Yaneisi Borlot	CUB 
Andrea Borrell	CUB 
Ismael Borrero	CUB 
Yordanis Borrero	CUB 
Evelina Borroto	CUB 
Wenceslao Borroto	CUB 
Lisa Boscarino	PUR 
Juan Botella	MEX 
Jan Boutmy	AHO 
Rómulo Bouzas	MEX 
George Bovell	TTO 
Nick Bovell	TTO 
Guillermo Boyd	PAN 
Albert Bracero	PUR 
Jorge Bracero	PUR 
Oscar Braison	CUB 
Joel Bran	GUA 
Isabel Brand	GUA 
Kristina Brandi	PUR 
Carlos Braniff	MEX 
Ryan Brathwaite	BAR 
Shane Brathwaite	BAR 
Alberth Bravo	VEN 
Carlos Bravo	VEN 
Enrique Bravo	CUB 
Osmar Bravo	NCA 
Ramón Bravo	MEX 
Zulema Bregado	CUB 
Abderramán Brenes	PUR 
Nery Brenes	CRC 
Pablo Brenes	CRC 
Aurora Bretón	MEX 
Marisol Bretón	MEX 
Germán Briceño	VEN 
Humberto Briceño	VEN 
Juan Briezen	AHO 
Arnaldo Bristol	PUR 
Jacinto Brito	MEX 
Leidys Brito	VEN 
Roberto Brito	MEX 
Mirtha Brock	COL 
Jani Brokke	AHO 
Enrique Brol	GUA 
Hebert Brol	GUA 
Jean-Pierre Brol	GUA 
Peter Bromby	BER 
Chris Brown	BAH 
Earl Brown	PUR 
Gilberto Brown	ISV 
Shandria Brown	BAH 
Steve Brown	TTO 
Andrew Bruce	TTO 
Magda Bruggemann	MEX 
Marlene Bruten	MEX 
Joel Brutus	HAI 
Juan Bueno	CUB 
Marco Bueno	MEX 
Roberto Buitrago	COL 
Lely Burgos	PUR 
Howard Burnett	JAM 
Marian Burnett	GUY 
Marc Burns	TTO 
Elvis Burrows	BAH 
Ricardo Busquets	PUR 
Omar Bustani	MEX 
Eduardo Bustos	COL 
Tyler Butterfield	BER 
Eloisa Cabada	MEX 
Denia Caballero	CUB 
Eunice Caballero	CUB 
Milagros Cabral	DOM 
Conrado Cabrera	CUB 
Juan Carlos Cabrera	MEX 
Franco Caccioni	VEN 
Francisco Cáceres	ESA 
Orlando Cáceres	PUR 
Ricardo Cadena	MEX 
Levi Cadogan	BAR 
Amparo Caicedo	COL 
Henry Caicedo	COL 
Rafaél Cal	MEX 
Zulia Calatayud	CUB 
Carlos Calderón	MEX 
Iván Calderón	PUR 
Luis Calderón	CUB 
Miguel Calderón	CUB 
Vicente Calderón	MEX 
Diego Calero	COL 
Jaime Callejas	COL 
Emmanuel Callender	TTO 
Joel Calvo	MEX 
Jossimar Calvo	COL 
Euclides Calzado	CUB 
Filemón Camacho	VEN 
José Gregorio Camacho	VEN 
Pedro Camacho	PUR 
Rubén Camacho	MEX 
Rafael Cámara	MEX 
Emiliano Camargo	COL 
Humberto Camarotti	CUB 
Iván Cambar	CUB 
Daniel Camejo	VEN 
Ibrahim Camejo	CUB 
Bert Cameron	JAM 
Dimas Camilo	MEX 
Roberto Caminero	CUB 
Juan Camous	VEN 
Eduardo Campbell	PAN 
Samuel Campis	MEX 
Eladio Campos	MEX 
Enrique Campos	VEN 
Jorge Campos	CUB 
Kilmar Campos	VEN 
Pablo Juan Campos	PUR 
Ricardo Campos	CUB 
Daniela Campuzano	MEX 
Beatriz Camuñas	MEX 
Fernando Cañales	PUR 
Francisco Cañales	PUR 
Ángel Cancel	PUR 
Bibiana Candelas	MEX 
Leonardo Candiani	MEX 
Lourdes Candini	MEX 
Susana Candini	MEX 
Hersony Canelón	VEN 
Rafael Cañizares	CUB 
Johnny Cannizzaro	PUR 
Gary Cano	MEX 
Guadalupe Canseco	MEX 
Ernesto Canto	MEX 
Maricela Cantú	MEX 
Wilhelm Canword	AHO 
Víctor Hugo Capacho	COL 
Alberto Capilla	MEX 
Joaquín Capilla	MEX 
Téodoro Capriles	VEN 
José Carabalí	VEN 
Norfalia Carabalí	COL 
Erwin Caraballo	VEN 
Ismael Carbonell	CUB 
Kenia Carcaces	CUB 
Alejandro Cárdenas	MEX 
Alicia Cárdeñas	MEX 
Oscar Cárdenas	CUB 
Regla Cárdenas	CUB 
Sonia Cárdenas	MEX 
Jorge Cardiel	MEX 
Juan Carlos Cardona	COL 
Norman Cardozo	NCA 
Euda Carías	GUA 
Mayelis Caripá	VEN 
Roberto Carlo	PUR 
Stanly del Carmen	DOM 
Adriana Carmona	VEN 
Danilo Caro	COL 
Rafael Carpio	MEX 
Germán Carrasquilla	COL 
Evelyn Carreras	DOM 
Nelson Carrero	VEN 
Yaniel Carrero	CUB 
Andrés Carrillo	CUB 
Enrique Carrillo	CUB 
Juan Carlos Carrillo	COL 
Nancy Carrillo	CUB 
Edna Carrillo	MEX 
Salomón Carrizales	VEN 
Carolena Carstens	PAN 
Dylan Carter	TTO 
James Carter	PUR 
Rodolfo Carvajal	VEN 
Benjamín Casado	PUR 
Gloria Casales	MEX 
Francisco Casamayor	CUB 
Joel Casamayor	CUB 
Alejandro Casañas	CUB 
Frank Casañas	CUB 
Gilda Casanova	CUB 
Ana María Casas	MEX 
Julio Jesús de las Casas	VEN 
Francisco Cascante	CUB 
Raúl Cascaret	CUB 
Yuleidys Cascaret	CUB 
Miguel Casellas	PUR 
Eddie Casiano	PUR 
Toñín Casillas	PUR 
Alexandra Caso	DOM 
Alfonso Castañeda	MEX 
Gerardo Castañeda	GUA 
Jorge Castañeda	MEX 
José Castañeda	MEX 
Patricia Castañeda	MEX 
Raúl Castañeda	MEX 
Stefany Castaño	COL 
Guillermo Castellanos	MEX 
Marianella Castellanos	VEN 
Víctor Castellanos	GUA 
Jorge Castillejos	MEX 
Ángel Castillo	VEN 
Apolonio Castillo	MEX 
Armando Castillo	GUA 
Beatriz Castillo	CUB 
Brenda Castillo	DOM 
Carolina Castillo	COL 
Jocelyn Castillo	VEN 
José Castillo	CUB 
Liset Castillo	CUB 
Modesto Castillo	DOM 
Nabor Castillo	MEX 
Tito Castillo	ESA 
Wanelge Castillo	PAN 
Yahel Castillo	MEX 
Yalennis Castillo	CUB 
Yuneisy Castillo	CUB 
Roberto Castrillo	CUB 
Arles Castro	COL 
Augusto Castro	COL 
Daniel Castro	CUB 
Eduardo Castro	MEX 
Francisco Castro	PUR 
Katerin Castro	COL 
Lilián Castro	ESA 
Manuel Castro	MEX 
Mario Castro	CUB 
Militza Castro	PUR 
Milton Castro	COL 
Nelson Castro	COL 
Omar Catari	VEN 
Orlando Catinchi	PUR 
Roxroy Cato	JAM 
Ben Cayenne	TTO 
José Cazorla	VEN 
Isabel Ceballos	COL 
Matilde Ceballos	PAN 
Pedro Ceballos	VEN 
Freddy Cedeño	VEN 
Juan Francisco Centelles	CUB 
Mario Centeno	NCA 
Frederich Cepeda	CUB 
Gisela Cerezo	VEN 
Nehomar Cermeño	VEN 
Dionicio Cerón	MEX 
Eligio Cervantes	MEX 
Elizabeth Cervantes	MEX 
José Cestero	PUR 
Adrián Chacón	CUB 
José Chacón	VEN 
Leonardo Chacón	CRC 
Juan Chalas	DOM 
José-Antonio Chalbaud	VEN 
Ricardo Chambers	JAM 
Ricardo Chandeck	PAN 
José Chandri	PUR 
Rolando Chang	CUB 
Ricardo Chapa	MEX 
Gustavo Chapela	MEX 
Jorge Chapoy	MEX 
Pedro Chappé	CUB 
Clifton Charleswell	ISV 
Vilma Charlton	JAM 
Maurys Charón	CUB 
Matilde Charro	CUB 
Arantxa Chávez	MEX 
Armando Chávez	MEX 
Carlos Chávez	PAN 
Germán Chávez	MEX 
Maricela Chávez	MEX 
Rolando Chávez	MEX 
Ignacio Chavira	MEX 
Francisco Checa	PAN 
Maxwell Cheeseman	TTO 
Elliot Chenaux	PUR 
Robert Chenaux	PUR 
Marcela Chibás	CUB 
Alexis Chiclana	PUR 
Arsenio Chirinos	VEN 
Silvia Chivás	CUB 
Antonio Chocano	GUA 
Rodolfo Choperena	MEX 
Felice Chow	TTO 
Angelia Chuck	JAM 
Edgar Chumacero	MEX 
Liliana Cian	COL 
Raúl Cicero	MEX 
Manuel Cid	MEX 
Mariana Cifuentes	MEX 
Jeyvier Cintrón	PUR 
Zuleyma Cirimele	VEN 
Franklin Cisneros	ESA 
Omar Cisneros	CUB 
Leandro Civil	CUB 
Davian Clarke	JAM 
Timicka Clarke	BAH 
Carlos Claverie	VEN 
Ángela Clavijo	COL 
Wellesley Clayton	JAM 
Mario Clopatofsky	COL 
Yariulvis Cobas	CUB 
Miguelina Cobián	CUB 
Pedro Coffie	AHO 
Sión Cóhen	PAN 
Luis Colina	COL 
Teresita Collado	GUA 
Enrique Collazo	PUR 
Williams Collazo	CUB 
Filiberto Colón	PUR 
Javier Colón	PUR 
María Colón	CUB 
Pedro Colón	PUR 
Téofilo Colón	PUR 
Víctor Colón	PUR 
Carolina Colorado	COL 
Misleydis Compañy	CUB 
Jorge Comrie	PAN 
Janier Concepción	CUB 
Jesús Conde	MEX 
Muriel Coneo	COL 
Altagracia Contreras	DOM 
Dalia Contreras	VEN 
Edgar Contreras	VEN 
Edickson Contreras	VEN 
José Contreras	CUB 
Nancy Contreras	MEX 
Yuderqui Contreras	DOM 
Joseph Coombs	TTO 
Brad Cooper	BAH 
Eileen Marie Coparropa	PAN 
Alexis Copello	CUB 
Carlos Cordero	MEX 
Domingo Cordero	PUR 
Kevin Cordón	GUA 
Francisco Córdova	PUR 
Samuel Córdova	MEX 
Williams Córdova	MEX 
Adriana Corona	MEX 
José Corona	MEX 
Luis Coronado	GUA 
Daniel Corral	MEX 
Emilio Correa	CUB 
Fernando Correa	VEN 
Onix Cortés	CUB 
Javier Cortina	CUB 
Manuel Cortina	MEX 
Inocenta Corvea	CUB 
Arturo Costa	CUB 
Lázaro Costa	CUB 
Silvia Costa	CUB 
Francisco Costas	MEX 
Arturo Coste	MEX 
Jorge Coste	MEX 
Héctor Cotto	PUR 
Miguel Cotto	PUR 
Orlando Cowley	CUB 
Shawn Cox	BAR 
Dion Crabbe	IVB 
Carlos Crassus	VEN 
Carl Crawford	GUY 
Hasely Crawford	TTO 
Yunaika Crawford	CUB 
Édgar Crespo	PAN 
Iván Crispin	DOM 
José Cristóbal	MEX 
Siobhan Cropper	TTO 
Andrei Cross	BAR 
Jorge Crusellas	CUB 
Ángel Cruz	PUR 
Aury Cruz	PUR 
Beatriz Cruz	PUR 
Eglis Yaima Cruz	CUB 
Heriberto Cruz	PUR 
José de la Cruz	VEN 
José Leonardo Cruz	COL 
Miguel Ángel Cruz	MEX 
Rolando Cruz	PUR 
Teo Cruz	PUR 
Jorge Cuervo	CUB 
Gustavo Cuesta	DOM 
Inocente Cuesta	CUB 
Marcela Cuesta	CRC 
Pablo Cuesta	CUB 
Juan Manuel Cueto	DOM 
Henry Cuevas	COL 
Mario Cuevas	MEX 
Javier Culson	PUR 
Yumileidi Cumbá	CUB 
Juan Curbelo	CUB 
Hector Curiel	AHO 
Raúl Curiel	MEX 
Juliet Cuthbert	JAM 
Fiorella D'Croz	COL 
Christian Dalmau	PUR 
Manuel Dalmau	PUR 
Raymond Dalmau	PUR 
John Daly	PUR 
Alvin Daniel	TTO 
Marcella Daniel	PAN 
Roger Daniel	TTO 
Dennis Darling	BAH 
José Dávalos	MEX 
Rodion Davelaar	AHO 
Francisco Dávila	MEX 
Duilio Daviño	MEX 
Pauline Davis-Thompson	BAH 
Téofilo Davis	VEN 
Alex de Jesús	PUR 
José de Jesús	PUR 
José-Ricardo de Jesús	PUR 
Ovidio de Jesús	PUR 
Bethania de la Cruz	DOM 
Noel de la Cruz	CUB 
San Lázaro de la Cruz	DOM 
Porfirio de León	PUR 
Héctor de Lima Carrilla	VEN 
Héctor de Lima Polanco	VEN 
Sylvia de Luna	GUA 
Neil de Silva	TTO 
Yamila Degrase	CUB 
Diego del Real	MEX 
Mónica del Real	MEX 
Mercedes del Risco	CUB 
Gerónimo Delgadillo	MEX 
Carmenza Delgado	COL 
Gustavo Delgado	MEX 
Ismael Delgado	PUR 
Javier Delgado	COL 
José Delgado	CUB 
Lindolfo Delgado	MEX 
Pedro Delgado	CUB 
Regino Delgado	CUB 
Ricardo Delgado	MEX 
Rodolfo Delgado	CUB 
Silvio Delgado	CUB 
Solangie Delgado	COL 
Isabel Delgado	MEX 
Patrick Delice	TTO 
Luis Delís	CUB 
Dominic Demeritte	BAH 
Marcelo Derouville	CUB 
Alfredo Despaigne	CUB 
Caridad Despaigne	CUB 
Oreidis Despaigne	CUB 
Robelis Despaigne	CUB 
Yordanis Despaigne	CUB 
Yosvany Despaigne	CUB 
Linouse Desravine	HAI 
Nikia Deveaux	BAH 
Martin Dias	GUY 
Adriana Díaz	PUR 
Alejandro Díaz	CUB 
Arturo Díaz	CUB 
Bárbaro Díaz	CUB 
Edgar Díaz	PUR 
Edgardo Díaz	PUR 
Félix Díaz	DOM 
Guillermo Díaz	MEX 
Ineabelle Díaz	PUR 
Javier Díaz	MEX 
Jordan Díaz	CUB 
José Díaz	PAN 
José Narciso Díaz	CUB 
Juan Díaz	VEN 
Luis Díaz	COL 
María del Carmen Díaz	MEX 
Nivaldo Díaz	CUB 
Paulino Díaz	MEX 
Rodobaldo Díaz	CUB 
Rodolfo Díaz	MEX 
Rodrigo Díaz	COL 
Roxana Díaz	CUB 
Tulio Díaz	CUB 
Víctor Díaz	VEN 
Yúnior Díaz	CUB 
Helga Diederichsen	MEX 
Teófilo Diek	DOM 
Paul Dielemans	AHO 
Carlos Dilaut	CUB 
Calvin Dill	BER 
Alana Dillette	BAH 
Eva Dimas	ESA 
Nuria Diosdado	MEX 
Juan Domecq	CUB 
Maribel Domínguez	MEX 
Mónica Domínguez	MEX 
Nelson Domínguez	CUB 
Oriel Domínguez	CUB 
Raúl Domínguez	CUB 
Dudley Dorival	HAI 
Marino Drake	CUB 
Luis Dreke	CUB 
Ingrid Drexel	MEX 
Abel Driggs	CUB 
Evelio Droz	PUR 
Neighel Drummond	CRC 
Raúl Duany	CUB 
Diego Duarte	COL 
Raúl Dubois	CUB 
Flora Duffy	BER 
Julio Dujarric	DOM 
Lorraine Dunn	PAN 
Daysi Duporty	CUB 
Antonio Duque	MEX 
Jaime Duque	COL 
Mariana Duque	COL 
Ana Durán	MEX 
Juan Manuel Durán	MEX 
Rafael Durán	VEN 
Yordanys Durañona	DMA 
Joanne Durant	BAR 
Érika Durón	MEX 
Migsey Dussu	CUB 
Alfredo Duvergel	CUB 
Byron Dyce	JAM 
Nilo Dzib	MEX 
Julio Echenique	CUB 
Karla Echenique	DOM 
Guillermo Echevarría	MEX 
Ivelisse Echevarría	PUR 
Juan Echevarría	COL 
María Echevarría	COL 
Isabella Echeverri	COL 
Francisco Echeverría	GUA 
Emilio Echeverry	COL 
Julio Echeverry	COL 
Octavio Echeverry	COL 
Alonso Edward	PAN 
Hector Edwards	BAR 
Jackie Edwards	BAH 
Kenneth Edwards	JAM 
Cristóbal Egerstrom	MEX 
José Luis Elejalde	CUB 
Marlene Elejarde	CUB 
Roberto José Elías	MEX 
Tania Elías	MEX 
Lino Elías	CUB 
Roberto Elie	VEN 
Alexis Elizalde	CUB 
Héctor Elizondo	MEX 
Jesús Elizondo	MEX 
Norbert Elliott	BAH 
Burkheart Ellis	BAR 
Ricardo Elmont	SUR 
Miguel Emmanuelli	PUR 
Stephanie Enright	PUR 
Dinorah Enríquez	PUR 
Felipe Enríquez	MEX 
Michel Enríquez	CUB 
Milayda Enríquez	CUB 
Dagmar Erdman	MEX 
Kenneth Erichsen	GUA 
Jorge Escalante	MEX 
Ignacio Escamilla	MEX 
Mitch Escanellas	PUR 
Catalina Elena Escobar	COL 
Luis Escobar	MEX 
Mario Escobar	COL 
Susana Escobar	MEX 
Sergio Escobedo	MEX 
Xóchitl Escobedo	MEX 
Alberto Escoto	CUB 
Daniel Eslava	MEX 
George Espeut	JAM 
Jaime Espinal	PUR 
Roberto Espino	NCA 
Ángel Espinosa	CUB 
Ángela María Espinosa	COL 
Fermín Espinosa	CUB 
Laritza Espinosa	CUB 
Maricet Espinosa	CUB 
Paola Espinosa	MEX 
Yaniuska Espinosa	VEN 
Alexander Espinoza	VEN 
Edgar Espinoza	VEN 
María Espinoza	MEX 
Tamara Esteri	CUB 
Horacio Esteves	VEN 
Imara Estévez	CUB 
Reinier Estopiñán	CUB 
José Antonio Estrada	CUB 
Magdiel Estrada	CUB 
Ramiro Estrada	MEX 
Víctor Estrada	MEX 
Víctor Estrella	DOM 
Neyssa Étienne	HAI 
Joanna Evans	BAH 
Laverne Eve	BAH 
Lisvel Eve	DOM 
Mavis Evelyn	JAM 
Ana Faez	CUB 
Alfredo Faget	CUB 
William Fajardo	MEX 
Nara Falcón	MEX 
Rodolfo Falcón	CUB 
Alejandro Falla	COL 
Ángel Famiglietti	PAN 
Oscar Familiar	MEX 
Alfredo Far	PAN 
Francisco Fariñas	CUB 
Sandra Farmer-Patrick	JAM 
Nadine Faustin-Parker	HAI 
Efigenio Favier	CUB 
Pedro Febles	VEN 
Juan Feld	VEN 
Jesús Feliciano	PUR 
Jaime Felipa	AHO 
Alysbeth Félix	PUR 
Juan Félix	PUR 
Robert Fellner	ISV 
Eduardo Fereda	VEN 
Shonel Ferguson	BAH 
Raymundo Fermín	DOM 
Adriana Fernández	MEX 
Alex Fernández	MEX 
Armando Fernández	MEX 
Charles Fernández	GUA 
Dalixia Fernández	CUB 
Gilberto Fernández	COL 
Jorge Fernández	CUB 
Silvio Fernández, Jr.	VEN 
Juan Carlos Fernández	COL 
Karina Fernández	CRC 
Karla Fernández	VEN 
Lázaro Fernández	CUB 
Osvaldo Fernández	CUB 
Pedro Fernández	CUB 
Raúl Fernández	MEX 
Silvio Fernández	VEN 
Yudelkis Fernández	CUB 
Antonio Ferracuti	ESA 
Carmen Ferracuti	ESA 
José Ferraioli	PUR 
Yania Ferrales	CUB 
José Ramón Ferrer	MEX 
Juan Ferrer	CUB 
Julio Ferrer	PUR 
Miguel Ferrera	HON 
César Ferreras	VEN 
Andrea Ferris	PAN 
Gregorio Fiallo	CUB 
Eliane Fierro	MEX 
Ángela Figueroa	COL 
Carlos Figueroa	ESA 
James Figueroa	PUR 
José Figueroa	PUR 
José Manuel Figueroa	PUR 
José Ricardo Figueroa	CUB 
Óscar Figueroa	COL 
Pablo Figueroa	PUR 
Quique Figueroa	PUR 
Yusleidy Figueroa	VEN 
Enrique Figuerola	CUB 
Veronica Findlay	JAM 
Cristina Fink-Sisniega	MEX 
Paul Fisher	BER 
Rudymar Fleming	VEN 
Chris Flook	BER 
Yamila Flor	CUB 
María Flores-Wurmser	GUA 
Ariel Flores	MEX 
Brenda Flores	MEX 
Carlos Julio Flores	VEN 
Carmelo Flores	PUR 
Daniel Flores	VEN 
Doroteo Flores	GUA 
Galdino Flores	MEX 
Juan Flores	MEX 
Rodolfo Flores	MEX 
Lina Flórez	COL 
Andrey Fonseca	CRC 
Luis Fonseca	VEN 
Marlene Font	CUB 
Clifton Forbes	JAM 
Shashalee Forbes	JAM 
Enrico Forcella	VEN 
Reggie Ford	GUY 
Yirisleydi Ford	CUB 
Barry Forde	BAR 
Elvis Forde	BAR 
Gillian Forde	TTO 
Juan Pablo Forero	COL 
Erick Fornaris	CUB 
Enrique Fortes	CUB 
Ana Fortín	HON 
Claudia Fortín	HON 
Rafael Fortún	CUB 
Álvaro Fortuny	GUA 
Brigitte Foster-Hylton	JAM 
Allodin Fothergill	JAM 
Raúl Foullón	MEX 
Ángel Fournier	CUB 
Javier Fragoso	MEX 
Lester Francel	COL 
Juan Franceschi	PUR 
Alleyne Francique	GRN 
Amadeo Francis	PUR 
Michael Francis	PUR 
Andrés Franco	CUB 
María Gabriela Franco	VEN 
Procopio Franco	MEX 
Jean-Marie François	VEN 
Arnold Franqui	PUR 
Brett Fraser	CAY 
Shaune Fraser	CAY 
Mike Fray	JAM 
Priscilla Frederick	ANT 
David Freeman	PUR 
Chesen Frey	ISV 
Jorge Frías	MEX 
Virgilio Frias	DOM 
Giovanni Frigo	VEN 
Severo Frómeta	CUB 
Jaime Frontera	PUR 
Hortensio Fucil	VEN 
Denisse Fuenmayor	VEN 
Johana Fuenmayor	VEN 
Manuel Fuenmayor	VEN 
Alejandra Fuentes	VEN 
Aremi Fuentes	MEX 
Humberto Fuentes	VEN 
José Fuentes	PUR 
José Luis Fuentes	VEN 
Luis Fuentes	GUA 
Rosa Fuentes	MEX 
Savatheda Fynes	BAH 
Natalia Gaitán	COL 
Gabriela Gaja	MEX 
Justo Galaviz	VEN 
José Jaime Galeano	COL 
Aarón Galindo	MEX 
Julio César Galofre	COL 
José David Galván	MEX 
Sandra Galvis	COL 
Pedro José Gamarro	VEN 
Yuriorkis Gamboa	CUB 
Elisbet Gámez	CUB 
Rafael Gandarillas	PUR 
Adrián Gandía	PUR 
Arialis Gandulla	CUB 
Rita Garay	PUR 
Jorge Garbey	CUB 
Marcia Garbey	CUB 
Rolando Garbey	CUB 
José Garcés	MEX 
Antonio Garcés	CUB 
Carlos Garcés	MEX 
Víctor Garcés	MEX 
Alberto García Aspe	MEX 
Alberto García	MEX 
Alfonso García	MEX 
Álvaro García	MEX 
Ángel García	CUB 
Anier García	CUB 
Antonio García	MEX 
Arturo García	MEX 
Blanca García	MEX 
Casimiro García	CUB 
Daniel García	MEX 
Danielys García	VEN 
Diana García	COL 
Diego García	MEX 
Efraín García	PUR 
Elsa García	MEX 
Ernesto García	CUB 
Evelyn García	ESA 
Fausto García	MEX 
Francisco García	MEX 
Gilberto García	DOM 
Guillermo García	MEX 
Gustavo García	COL 
Hanser García	CUB 
Héctor García	DOM 
Hermenegildo García	CUB 
Iván García	CUB 
Jessica García	PUR 
Jesús García	MEX 
Jhon García	COL 
Jorge García	CUB 
José Amado García	GUA 
José Luis García	GUA 
Juan García	CUB 
Juan Manuel García	MEX 
Juan Pablo García	MEX 
Kevin García	COL 
Kriscia García	ESA 
Luis García	VEN 
Luis Alberto García	VEN 
Luis Fernando García	GUA 
Luis Miguel García	MEX 
Magalys García	CUB 
María García	DOM 
María Esther García	CUB 
Martha García	MEX 
Mayra Aide García	MEX 
Miguel García	CUB 
Mirayda García	CUB 
Óscar García	CUB 
Osvaldo García	CUB 
Pablo García	CUB 
Patricia García	MEX 
Raúl García	CUB 
Ricardo García	MEX 
Rosibel García	COL 
Vanessa García	PUR 
Wilfredo García	CUB 
Willis García	VEN 
Yohan García	CUB 
Yonder García	CUB 
Yordanis García	CUB 
Keith Gardner	JAM 
Luis Garrido	PUR 
Orlando Garrido	CUB 
Juan de la Garza	MEX 
Geandry Garzón	CUB 
César Gaudín	PUR 
Raymond Gause	PUR 
Fernando Gaviria	COL 
Juliana Gaviria	COL 
Álvaro Gaxiola	MEX 
Hilda Gaxiola	MEX 
Mabel Gay	CUB 
Lee Gentil	PUR 
Yanic Gentry	MEX 
Christopher George	TTO 
José Augusto Geraldino	DOM 
José Vicbart Geraldino	DOM 
Roger Gibbon	TTO 
Jesús Gil	CUB 
Tomás Gil	VEN 
Isis Giménez	VEN 
María Giménez	VEN 
Gerard Giraldo	COL 
Jorge Giraldo	COL 
Juan Diego Giraldo	COL 
David Giralt, Sr.	CUB 
Guillermo Giribaldi	AHO 
Carlos Girón	MEX 
Ronald Girones	CUB 
Hugo Gittens	TTO 
María Elena Giusti	VEN 
George Gleason	ISV 
Desiree Glod	VEN 
Antonio Goeters	MEX 
Luis Goicoechea	VEN 
Lacena Golding-Clarke	JAM 
Gabriel Goldschmied	MEX 
Salvador Goldschmied	MEX 
Ralph Gomes	GUY 
Alejandro Gómez	VEN 
Álvaro Gómez	COL 
Ana Sofía Gómez	GUA 
Andrés Gómez	MEX 
Carmen Gómez	COL 
Daniel Gómez	MEX 
Delfín Gómez	CUB 
Eimey Gómez	CUB 
Ernardo Gómez	VEN 
Francis Gómez	VEN 
Francisco Gómez	CUB 
Franklin Gómez	PUR 
Gerardo Gómez	MEX 
Joaquín Gómez	MEX 
Johana Gómez	VEN 
Jonathan Gómez	COL 
José Gómez	CUB 
Mario Gómez	MEX 
Pedro Gómez	DOM 
Rafael Gómez	CUB 
Rodolfo Gómez	MEX 
Román Gómez	MEX 
Ronny Gómez	CRC 
Roxana Gómez	CUB 
Rubén Darío Gómez	COL 
Wilfredo Gómez	PUR 
Iván Gomina	COL 
Compton Gonsalves	TTO 
William González Taborda	COL 
Adolfo González	MEX 
Alfonso González	PAN 
Alfredo González	COL 
Ana María González	CUB 
Andrés González	CUB 
Andy González	CUB 
Angie González	VEN 
Carlos González	MEX 
Domingo González	MEX 
Driulys González	CUB 
Eduardo González	PUR 
Emeterio González	CUB 
Enrique González	MEX 
Fernanda González	MEX 
Francisco González	MEX 
Freddy González	VEN 
Gerardo González	COL 
Gilberto González	VEN 
Heriberto González	CUB 
Iglandini González	COL 
Jacinto González	CUB 
Javier González	CUB 
Jesús González	MEX 
Jhon González	COL 
Jonathan González	PUR 
Jorge González	PUR 
José González	MEX 
Juana González	DOM 
Julio González	CUB 
Laura González	COL 
Leyanet González	CUB 
Luis González	COL 
Mailyn González	CUB 
María González	PUR 
Mariana González	VEN 
Mario González	MEX 
Mauricio González	MEX 
Mayra González	CUB 
Mayra Marcela González	MEX 
Misleydis González	CUB 
Narciso González	MEX 
Norma González	COL 
Radamés González	CUB 
Raúl González	MEX 
Rodrigo González	MEX 
Santiago González	MEX 
Sergio González	CUB 
Úrsula González	MEX 
Yoanka González	CUB 
Yumari González	CUB 
Gary Goodner	PUR 
Michael Goodner	PUR 
Lalonde Gordon	TTO 
Leon Gordon	JAM 
Francis Gorrín	VEN 
Alfonso de Gortari	MEX 
Gretchen Gotay	PUR 
Lourdes Gourriel	CUB 
Yulieski Gourriel	CUB 
Arlindo Gouveia	VEN 
Eduardo Graciano	MEX 
Gabriel Gracida	MEX 
Winthrop Graham	JAM 
Crisanto Grajales	MEX 
Pedro Grajales	COL 
Luis Grajeda	MEX 
Ruth Grajeda	MEX 
Warren Granados	CRC 
Jorge Grau	CUB 
Alex Greaux	PUR 
Kyle Greaux	TTO 
Leford Green	JAM 
Cejhae Greene	ANT 
Debbie Greene	BAH 
Eric Greenwood	CRC 
Elvis Gregory	CUB 
Eileen Grench	PAN 
Adrian Griffith	BAH 
Charles Griffith	VEN 
June Griffith	GUY 
Xiomara Griffith	VEN 
Alfredo Grisi	MEX 
Jesús Gruber	VEN 
Vicente de la Guardia	CUB 
Ricardo Guasch	MEX 
Jorge Gudiño	MEX 
Enrique Guedes	CUB 
Javier Guédez	VEN 
Germán Guenard	PUR 
Carlos Guerra	MEX 
Jaime Guerra	MEX 
Javier Guerra	MEX 
José Antonio Guerra	CUB 
Lisandra Guerra	CUB 
Roberto Guerra	CUB 
Orlando Guerreo	DOM 
Alberto Guerrero	PUR 
Arturo Guerrero	MEX 
Belem Guerrero	MEX 
Osleni Guerrero	CUB 
Héctor Guerrero	MEX 
Ana Guevara	MEX 
Miriam Guevara	MEX 
Edgardo Guilbe	PUR 
Fred Guillermety	PUR 
Eva Gurrola	MEX 
Augusto Gutiérrez	VEN 
Gustavo Gutiérrez	VEN 
Eddy Gutiérrez	CUB 
Guillermo Gutiérrez	MEX 
