Don Bragg	USA 
Jeff Batchelor	CAN 
Stefan Baumeister	GER 
Nick Baumgartner	USA 
Paul Berg	GER 
Marie Birkl	SWE 
Daniel Biveson	SWE 
Isabelle Blanc	FRA 
Laurie Blouin	CAN 
François Boivin	CAN 
Svetlana Boldykova	RUS 
Mathieu Bozzetto	FRA 
Torah Bright	AUS 
Ursula Bruhin	SUI 
Pat Burgener	SUI 
Patrick Bussler	GER 
Cai Xuetong	CHN 
Sina Candrian	SUI 
Queralt Castellet	ESP 
Kim Christiansen	NOR 
Annamari Chundak	UKR 
Chris Corning	USA 
Holly Crawford	AUS 
Mathieu Crépel	FRA 
Mick Dierdorff	USA 
Hanno Douschan	AUT 
Sylvain Dufour	FRA 
Julia Dujmovits	AUT 
Markus Ebner	GER 
Lucas Eguibar	ESP 
Hilde Katrine Engeli	NOR 
Merika Enne	FIN 
Sandra Farmand	GER 
Walter Feichter	ITA 
Ursula Fingerlos	AUT 
Sara Fischer	SWE 
Roland Fischnaller	ITA 
Rok Flander	SLO 
Rosey Fletcher	USA 
Daniel Franck	NOR 
Mellie Francon	SUI 
Sandra Frei	SUI 
Nevin Galmarini	SUI 
Anna Gasser	AUT 
Arielle Gold	USA 
Shelly Gotlieb	NZL 
Sigi Grabner	AUT 
Jeff Greenwood	USA 
Clémence Grimal	FRA 
Sari Grönholm	FIN 
Faye Gulini	USA 
Doris Günther	AUT 
Ursina Haller	SUI 
Anna Hellman	SWE 
Regino Hernández	ESP 
Kevin Hill	CAN 
Taku Hiraoka	JPN 
Roger Hjelmstadstuen	NOR 
Ramona Hofmeister	GER 
Nate Holland	USA 
Nicolas Huber	SUI 
Nicolas Huet	FRA 
Markus Hurme	FIN 
Maxence Idesheim	FRA 
Heinz Inniger	SUI 
Lindsey Jacobellis	USA 
Mike Jacoby	USA 
Scotty James	AUS 
Gilles Jaquet	SUI 
Ladina Jenny	SUI 
Nate Johnstone	AUS 
Selina Jörg	GER 
Stefan Kaltschütz	AUT 
Benjamin Karl	AUT 
Stefan Karlsson	SWE 
Hagen Kearney	USA 
Markus Keller	SUI 
Chloe Kim	USA 
Maria Kirchgasser	AUT 
Stine Brun Kjeldaas	NOR 
Marcus Kleveland	NOR 
Amelie Kober	GER 
Kazuhiro Kokubo	JPN 
Elena Könz	SUI 
Janne Korpi	FIN 
Dejan Košir	SLO 
Žan Košir	SLO 
Markku Koski	FIN 
Marion Kreiner	AUT 
Doresia Krings	AUT 
Bernd Kroschewski	GER 
Patrizia Kummer	SUI 
Isabella Laböck	GER 
Justin Lamoureux	CAN 
Ester Ledecká	CZE 
Paulina Ligocka	POL 
Liu Jiayu	CHN 
Dmitry Loginov	OAR 
Kyle Mack	USA 
Fränzi Mägert-Kohli	SUI 
Alexander Maier	AUT 
Dagi Mair unter der Eggen	ITA 
Markus Malin	FIN 
Dominique Maltais	CAN 
Rok Marguč	SLO 
Brad Martin	CAN 
Tim Mastnak	SLO 
Maddie Mastro	USA 
Haruna Matsumoto	JPN 
Luca Matteotti	ITA 
Risto Mattila	FIN 
Niklas Mattsson	SWE 
Mark McMorris	CAN 
Klaudia Medlová	SVK 
Elmar Messner	ITA 
Daniela Meuli	SUI 
Nelly Moënne-Loccoz	FRA 
Dieter Moherndl	GER 
Michela Moioli	ITA 
Matthew Morison	CAN 
Drew Neilson	CAN 
Olivia Nobs	SUI 
Silje Norendal	NOR 
Spencer O'Brien	CAN 
Helene Olafsen	NOR 
Miyabi Onitsuka	JPN 
Šárka Pančochová	CZE 
Margherita Parini	ITA 
Ville Paumola	FIN 
Nicola Pederzolli	AUT 
Emanuel Perathoner	ITA 
Manuela Pesko	SUI 
Manon Petit-Lenoir	FRA 
Iouri Podladtchikov	RUS 
Julie Pomagalski	FRA 
Marion Posch	ITA 
Ross Powers	USA 
Andreas Prommegger	AUT 
Thomas Prugger	ITA 
Alex Pullin	AUS 
Carmen Ranigler	ITA 
Tim-Kevin Ravnjak	SLO 
Justin Reiter	USA 
Heidi Renoth	GER 
Fabienne Reuteler	SUI 
Richard Richardsson	SWE 
Maëlle Ricker	CAN 
Claudia Riegler	AUT 
Manuela Riegler	AUT 
Chris Robanske	CAN 
Sophie Rodriguez	FRA 
Fabien Rohrer	SUI 
Karine Ruby	FRA 
Xavier De Le Rue	FRA 
Enni Rukajärvi	FIN 
Zoi Sadowski-Synnott	NZL 
Eva Samková	CZE 
Ståle Sandbech	NOR 
Nicolien Sauerbreij	NED 
Markus Schairer	AUT 
Philipp Schoch	SUI 
Simon Schoch	SUI 
Anita Schwaller	SUI 
Stian Sivertzen	NOR 
Seppe Smits	BEL 
Andrey Sobolev	OAR 
Nataliya Soboleva	OAR 
Ryan Stassel	USA 
Zeke Steggall	AUS 
Fredrik Sterner	SWE 
Magnus Sterner	SWE 
Tomoka Takeuchi	JPN 
Hannah Teter	USA 
Christel Thoresen	NOR 
Mariya Tikhvinskaya	RUS 
Roope Tonteri	FIN 
Yuto Totsuka	JPN 
Chloé Trespeuch	FRA 
Lidia Trettel	ITA 
Yekaterina Tudegesheva	OAR 
Daniela Ulbing	AUT 
Dominique Vallée	CAN 
Sondra Van Ert	USA 
Pierre Vaultier	FRA 
Doriane Vidal	FRA 
Omar Visintin	ITA 
Harald Walder	AUT 
Sabine Wehr-Hasler	GER 
Seth Wescott	USA 
Vic Wild	OAR 
Åsa Windahl	SWE 
Soko Yamaoka	JPN 
Alyona Zavarzina	OAR 
Zhang Yiwei	CHN 
Julie Zogg	SUI 
Nathan Adrian	USA 
Ricky Berens	USA 
Bronte Campbell	AUS 
Cate Campbell	AUS 
César Cielo Filho	BRA 
Tyler Clary	USA 
Brittany Elmslie	AUS 
Missy Franklin	USA 
Katinka Hosszú	HUN 
Jiao Liuyang	CHN 
Cullen Jones	USA 
Lilly King	USA 
Ranomi Kromowidjojo	NED 
Katie Ledecky	USA 
Jason Lezak	USA 
Ryan Lochte	USA 
Simone Manuel	USA 
Emma McKeon	AUS 
Cody Miller	USA 
Ryan Murphy	USA 
Penny Oleksiak	CAN 
Adam Peaty	GBR 
Michael Phelps	USA 
Allison Schmitt	USA 
Joseph Schooling	SGP 
Emily Seebohm	AUS 
Sarah Sjöström	SWE 
Rebecca Soni	USA 
Eamon Sullivan	AUS 
Sun Yang	CHN 
Peter Vanderkaay	USA 
Dana Vollmer	USA 
Shannon Vreeland	USA 
Ippei Watanabe	JPN 
Garrett Weber-Gale	USA 
Eddy Alvarez	USA 
Edmund Minahan	USA 
Bill Bradley	USA 
Peter Camejo	VEN 
Bob Richards	USA 
Ben Spock	USA 
Randy Barnes	USA 
Beatrice Chepkoech	KEN 
Joshua Cheptegei	UGA 
Galina Čisťakovová	SVK 
Genzebe Dibaba	ETH 
Yohann Diniz	FRA 
Jonathan Edwards	GBR 
Hicham El Guerrouj	MAR 
Michael Johnson	USA 
Eliud Kipchoge	KEN 
Marita Koch	GDR 
Stefka Kostadinova	BUL 
Jarmila Kratochvílová	TCH 
Inesa Kravets	URS 
Nataliya Lisovskaya	URS 
Liu Hong	CHN 
Kévin Mayer	FRA 
Aries Merritt	USA 
Dalilah Muhammad	USA 
Mike Powell	USA 
Gabi Reinsch	GDR 
Butch Reynolds	USA 
Jürgen Schult	GDR 
Yury Sedykh	URS 
Javier Sotomayor	CUB 
Barbora Špotáková	CZE 
Yusuke Suzuki	JPN 
Andrew Valmon	USA 
Quincy Watts	USA 
Jan Železný	CZE 
Christine Aaftink	NED 
Bae Gi-Tae	KOR 
Andrey Bakhvalov	RUS 
Per Bjørang	NOR 
Bonnie Blair	USA 
Margot Boer	NED 
Jan Bos	NED 
Gaétan Boucher	CAN 
Brittany Bowe	USA 
Svetlana Boyarkina-Zhurova	RUS 
Ruth Budzisch-Schleiermacher	GDR 
Sylvia Burka	CAN 
Cha Min-Gyu	KOR 
Joey Cheek	USA 
Shani Davis	USA 
Dmitry Dorofeyev	RUS 
Laurent Dubreuil	CAN 
Hilbert van der Duim	NED 
Kai Arne Engelstad	NOR 
Karin Enke-Kania	GDR 
Karolína Erbanová	CZE 
Olga Fatkulina	RUS 
Casey FitzRandolph	USA 
Eric Flaim	USA 
Anni Friesinger-Postma	GER 
Monique Garbrecht-Enfeldt	GER 
Monika Gawenus-Holzner-Pflug	FRG 
Annette Gerritsen	NED 
Johan Granath	SWE 
Daniel Greig	AUS 
Stefan Groothuis	NED 
Seiko Hashimoto	JPN 
Beth Heiden	USA 
Eric Heiden	USA 
Anne Henning	USA 
Edel Therese Høiseth	NOR 
Dianne Holum	USA 
Manabu Horii	JPN 
Dan Immerfall	USA 
Junichi Inoue	JPN 
Mike Ireland	CAN 
Dan Jansen	USA 
Anzhalika Katsiuha	BLR 
Erhard Keller	FRG 
Atje Keulen-Deelstra	NED 
Sergey Khlebnikov	URS 
Kim Yun-Man	KOR 
Cindy Klassen	CAN 
Sergey Klevchenya	RUS 
Nao Kodaira	JPN 
Ove König	SWE 
Pekka Koskela	FIN 
Simon Kuipers	NED 
Yevgeny Kulikov	URS 
Akira Kuroiwa	JPN 
Toshiyuki Kuroiwa	JPN 
Valentina Lalenkova	URS 
Heike Lange	GDR 
Catriona Le May Doan	CAN 
Lee Gang-Seok	KOR 
Lee Gyu-Hyeok	KOR 
Lee Sang-Hwa	KOR 
Leo Linkovesi	FIN 
Håvard Holmefjord Lorentzen	NOR 
Anatoly Medennikov	URS 
Uwe-Jens Mey	GDR 
Yukihiro Mitani	JPN 
Yasunori Miyabe	JPN 
Mo Tae-Beom	KOR 
Jorien ter Mors	NED 
Peter Mueller	USA 
Michel Mulder	NED 
Mun Jun	KOR 
Valery Muratov	URS 
Keiichiro Nagashima	JPN 
Christine Nesbitt	CAN 
Kjeld Nuis	NED 
Andrea Nuyt	NED 
Pavel Pegov	URS 
Nataliya Petrusyova	URS 
Tom Plant	USA 
Leah Poulos-Mueller	USA 
Cathy Priestner	CAN 
Oksana Ravilova	RUS 
Heather Richardson-Bergsma	USA 
Jennifer Rodriguez	USA 
Frode Rønning	NOR 
Christa Rothenburger-Luding	GDR 
Erwina Ryś-Ferens	POL 
Lyubov Sadchikova	URS 
Aleksandr Safronov	URS 
Eriko Sanmiya	JPN 
Ard Schenk	NED 
Franziska Schenk	GER 
Hiroyasu Shimizu	JPN 
Shihomi Shinya	JPN 
Nataliya Shive-Glebova	URS 
Chiara Simionato	ITA 
Angela Stahnke-Hauck	GDR 
Nina Statkevich	URS 
Roger Strøm	NOR 
Keiichi Suzuki	JPN 
Masaki Suzuki	JPN 
Miho Takagi	JPN 
Tatyana Tarasova	URS 
Magne Thomassen	NOR 
Nick Thometz	USA 
Marianne Timmer	NED 
Lyudmila Titova	URS 
Haitske Valentijn-Pijlman	NED 
Gerard van Velde	NED 
Kai Verbij	NED 
Sabine Völker	GER 
Wang Beixing	CHN 
Wang Manli	CHN 
Erben Wennemars	NED 
Chris Witty	USA 
Jenny Wolf	GER 
Jeremy Wotherspoon	CAN 
Ireen Wüst	NED 
Xue Ruihong	CHN 
Ye Qiaobo	CHN 
Aleksey Yesin	RUS 
Sayuri Yoshii	JPN 
Sheila Young	USA 
Yu Jing	CHN 
Ihar Zhaliasouski	BLR 
Zhang Hong	CHN 
Paul Biedermann	GER 
Anton Chupkov	RUS 
Caeleb Dressel	USA 
Matt Grevers	USA 
Liu Zige	CHN 
Rikke Møller Pedersen	DEN 
Aaron Peirsol	USA 
Federica Pellegrini	ITA 
Eric Shanteau	USA 
Brianna Throssell	AUS 
Dave Walters	USA 
Madi Wilson	AUS 
Kelsi Worrell	USA 
Olav Aarnes	NOR 
Émile Allais	FRA 
Folke Alnevik	SWE 
Rie de Balbian Verster-Bolderheij	NED 
Mario Becerril	MEX 
Harold Bend	USA 
Alie van den Bos	NED 
Bill Brown	GBR 
Trygve Brudevold	NOR 
Willi Büsing	GER 
Carmelo Camet	ARG 
Yvonne Chabot-Curtet	FRA 
Iris Cummings	USA 
Frans De Blaes	BEL 
John Dellert	USA 
Lucien Démanet	FRA 
Tommy Dermody	IRL 
John Ditlev-Simonsen	NOR 
Edward Dyson	GBR 
Jean Elichagaray	FRA 
Hans Erni	SUI 
Ferdinand Fabra	GER 
Joaquim Fiúza	POR 
Josef Fleischlinger	TCH 
Bruno Frietsch	FIN 
Evelyn Furtsch	USA 
Johnny Gibson	USA 
Guo Jie	CHN 
Karlo Hansen	DEN 
João Havelange	BRA 
Erik Herseth	NOR 
Dave Howard	CAN 
Dirk Janssen	NED 
Kai Jensen	DEN 
Signe Johansson	SWE 
Aarne Kainlauri	FIN 
Andrejs Kapmals	RUS 
Ágnes Keleti	HUN 
Rezső Kende	HUN 
Feroze Khan	IND 
Seibo Kitamura	JPN 
Jalmari Kivenheimo	FIN 
Mien Klaver	NED 
Hans Kleppen	NOR 
Durward Knowles	GBR 
Gustav Lantschner	GER 
Henning Larsen	DEN 
Li Zhenzhong	CHN 
Bill Lucas	GBR 
John Lysak	USA 
Janine Magnin-Lamouche	FRA 
Hans Maier	NED 
Paul Makler, Sr.	USA 
Diran Manoukian	FRA 
Carla Marangoni	ITA 
Klára Marik	HUN 
Otto von Müller	GER 
Albert Öberg	SWE 
Luis Oliva	ARG 
Hanna Olsen	SWE 
Dan Ormsbee	USA 
Ivo Pavelić	YUG 
Attilio Pavesi	ITA 
Ettore Perego	ITA 
Lucie Petit-Diagre	BEL 
Hans Pfann	GER 
Giuseppe Prezzolini	ITA 
Harry Prieste	USA 
Alfred Proksch	AUT 
Alejandro Quiroz	MEX 
Marko Račič	YUG 
Jacques Rambaud	FRA 
Godfrey Rampling	GBR 
Juan Reccius	CHI 
Edmund Reitter	AUT 
Babe Rockefeller	USA 
Nic Roeser	LUX 
Jos Romersa	LUX 
John Russell	USA 
Simone Schaller	USA 
Rudy Schrader	USA 
Celina Seghi	ITA 
Félix Sienra	URU 
Ingeborg Sjöqvist	SWE 
Erna Sondheim	GER 
Louis, Count Sparre	SWE 
Sreten Stefanović	YUG 
Franciszek Strynkiewicz	POL 
Leon Štukelj	YUG 
Sándor Tarics	HUN 
Carlo Testi	ITA 
Joe Tierney	USA 
Olga Tőrös	HUN 
Ignacio Trelles	MEX 
Talat Tunçalp	TUR 
Norman Vaughan	USA 
Walter Walsh	USA 
Edvin Wide	SWE 
Willem Winkelman	NED 
Geraldine Wright	CAN 
Yan Chengkun	CHN 
Donnell Young	USA 
Fred Zebouni	LBN 
John Akii-Bua	UGA 
Irena Kirszenstein-Szewińska	POL 
Hannes Kolehmainen	FIN 
Tapani Niku	FIN 
Paavo Nurmi	FIN 
Ferenc Puskás	HUN 
Ville Ritola	FIN 
Gillian Rolton	AUS 
Shirley Strickland de la Hunty	AUS 
Armas Taipale	FIN 
Emil Zátopek	TCH 
Pavel Abramov	RUS 
Rachael Adams	USA 
 Adenízia	BRA 
Tai Agüero	CUB 
Foluke Akinradewo	USA 
Marina Akulova	RUS 
Todor Aleksiev	BUL 
Maura Alfonso	CUB 
 Amauri	BRA 
 Ana Flávia	BRA 
 Ana Paula	BRA 
 Anderson	BRA 
Matt Anderson	USA 
Stéphane Antiga	FRA 
Yaroslav Antonov	URS 
Erika Araki	JPN 
Yuko Arakida	JPN 
Alexis Argilagos	CUB 
William Arjona	BRA 
Yevgeniya Artamonova-Estes	RUS 
Wiz Bachman	USA 
Michał Bąkiewicz	POL 
Lloy Ball	USA 
Kayla Banwarth	USA 
Nicolae Bărbuță	ROU 
Philippe Barca-Cysique	FRA 
Nelly Barnet	CUB 
Vladimir Batez	SCG 
Yelena Batukhtina-Tyurina	RUS 
Carolyn Becker	USA 
Anastasiya Belikova	RUS 
Regla Bell	CUB 
Lázaro Beltrán	CUB 
 Bernard	BRA 
Lorenzo Bernardi	ITA 
 Bernardinho	BRA 
Mateusz Bieniek	POL 
Peter Blangé	NED 
Marcus Böhme	GER 
Maurício Borges	BRA 
Mariya Borodakova-Borisenko	RUS 
Lyudmila Borozna	URS 
Viktor Borshch	URS 
Ryszard Bosek	POL 
Lucia Bosetti	ITA 
Slobodan Boškan	SCG 
Tijana Bošković	SRB 
Heather Bown	USA 
Marco Bracci	ITA 
Jovana Brakočević-Kancian	SRB 
Freddy Brooks	CUB 
 Bruninho	BRA 
Craig Buck	USA 
Ivans Bugajenkovs	URS 
Lyudmila Buldakova	URS 
Nikolay Burobin	URS 
Bianka Buša	SRB 
Rafał Buszek	POL 
Mercedes Calderón	CUB 
Luca Cantagalli	ITA 
Laurent Capet	FRA 
Josefina Capote	CUB 
Gaby Cárdenas	PER 
Paola Cardullo	ITA 
